species,decimalLongitude,decimalLatitude
Gentianella campestris,17.99288,59.65153
Gentianella campestris,11.0789,58.83741
Gentianella campestris,18.81806,60.10649
Gentianella campestris,18.26244,59.78131
Gentianella campestris,18.23565,59.73702
Gentianella campestris,18.25979,59.73972
Gentianella campestris,18.95576,59.81358
Gentianella campestris,18.80601,60.02851
Gentianella campestris,17.94742,59.66127
Gentianella campestris,18.44062,60.04546
Gentianella campestris,11.18101,58.74692
Gentianella campestris,14.45023,57.90168
Gentianella campestris,14.92519,57.83602
Gentianella campestris,14.57912,57.65772
Gentianella campestris,14.61595,57.92482
Gentianella campestris,15.02195,58.02324
Gentianella campestris,11.22346,58.64882
Gentianella campestris,15.43386,58.19633
Gentianella campestris,15.2813,58.22146
Gentianella campestris,15.02421,57.59612
Gentianella campestris,14.72422,57.95885
Gentianella campestris,17.05108,60.49926
Gentianella campestris,14.55558,63.27253
Gentianella campestris,16.91755,62.20142
Gentianella campestris,16.04165,58.4316
Gentianella campestris,15.91371,60.13039
Gentianella campestris,15.64,61.9187
Gentianella campestris,15.24243,58.73682
Gentianella campestris,17.02723,59.15927
Gentianella campestris,12.83705,57.39333
Gentianella campestris,12.66618,56.45381
Gentianella campestris,16.09613,61.38597
Gentianella campestris,16.78007,58.51936
Gentianella campestris,15.40534,60.35195
Gentianella campestris,17.91723,59.64473
Gentianella campestris,17.9246,59.66229
Gentianella campestris,13.95691,63.36392
Gentianella campestris,18.13969,59.957
Gentianella campestris,17.38486,59.98335
Gentianella campestris,17.9383,60.42278
Gentianella campestris,17.35969,60.60223
Gentianella campestris,17.98635,60.33306
Gentianella campestris,18.43374,60.12434
Gentianella campestris,18.3161,59.89005
Gentianella campestris,18.04988,60.48629
Gentianella campestris,18.40367,60.20198
Gentianella campestris,18.19335,59.96009
Gentianella campestris,16.73597,59.3174
Gentianella campestris,14.51732,58.61562
Gentianella campestris,13.59292,58.04787
Gentianella campestris,16.90434,59.26705
Gentianella campestris,18.51162,59.75521
Gentianella campestris,15.44223,58.87978
Gentianella campestris,14.96213,58.24202
Gentianella campestris,15.22871,58.1087
Gentianella campestris,15.24534,58.10376
Gentianella campestris,15.63752,58.88833
Gentianella campestris,15.66283,58.91968
Gentianella campestris,15.00699,59.54618
Gentianella campestris,15.000948,67.789583
Gentianella campestris,14.969638,67.785706
Gentianella campestris,14.986038,67.78795
Gentianella campestris,12.756225,66.229701
Gentianella campestris,12.789704,66.289395
Gentianella campestris,12.787066,66.281612
Gentianella campestris,12.688526,66.024782
Gentianella campestris,13.59454,58.53074
Gentianella campestris,14.70649,63.1041
Gentianella campestris,17.58044,60.5742
Gentianella campestris,13.05425,63.21717
Gentianella campestris,17.59138,60.57469
Gentianella campestris,17.60342,60.56644
Gentianella campestris,17.63158,60.55592
Gentianella campestris,15.59828,62.71732
Gentianella campestris,15.1451,62.72623
Gentianella campestris,15.13713,62.72213
Gentianella campestris,17.51804,60.5393
Gentianella campestris,15.69742,62.69289
Gentianella campestris,17.92279,59.65706
Gentianella campestris,17.91657,59.65096
Gentianella campestris,18.27181,59.11122
Gentianella campestris,15.70745,59.76361
Gentianella campestris,12.71249,56.46898
Gentianella campestris,14.58957,63.3809
Gentianella campestris,14.55705,63.34616
Gentianella campestris,15.40466,58.06755
Gentianella campestris,11.54274,58.05906
Gentianella campestris,14.68959,63.20648
