species,decimalLongitude,decimalLatitude
Gentianella campestris,13.71006,57.45731
Gentianella campestris,13.92342,57.48852
Gentianella campestris,14.91973,57.25071
Gentianella campestris,16.22952,56.9065
Gentianella campestris,15.57898,56.99951
Gentianella campestris,13.8744,57.56412
Gentianella campestris,15.79458,56.84077
Gentianella campestris,15.64761,57.11186
Gentianella campestris,14.26874,57.48601
Gentianella campestris,14.72219,56.47054
Gentianella campestris,14.52763,57.06728
Gentianella campestris,15.83416,57.18918
Gentianella campestris,14.46094,57.42894
Gentianella campestris,15.49513,56.59522
Gentianella campestris,15.66482,56.49046
Gentianella campestris,14.16058,57.48106
Gentianella campestris,14.35942,57.51223
Gentianella campestris,14.15701,57.22685
Gentianella campestris,14.02035,57.48454
Gentianella campestris,14.13033,57.48605
Gentianella campestris,14.489305,67.335483
Gentianella campestris,14.262192,66.852017
Gentianella campestris,14.28757,66.779018
Gentianella campestris,14.094657,66.990705
Gentianella campestris,10.102427,59.011237
Gentianella campestris,14.91931,67.126641
Gentianella campestris,14.261007,66.98209
Gentianella campestris,14.055535,66.896225
Gentianella campestris,15.650197,68.12448
Gentianella campestris,7.265565,62.375825
Gentianella campestris,7.246018,62.380077
Gentianella campestris,18.00939,59.49416
Gentianella campestris,15.29393,58.76398
Gentianella campestris,12.62883,62.53387
Gentianella campestris,12.33977,62.54127
Gentianella campestris,21.47856,69.53059
Gentianella campestris,13.601769,66.940184
Gentianella campestris,14.039401,67.01926
Gentianella campestris,15.16294,58.31241
Gentianella campestris,12.876,57.55594
Gentianella campestris,20.82597,70.19171
Gentianella campestris,14.779433,67.208184
Gentianella campestris,15.347276,67.300441
Gentianella campestris,15.53939,67.380959
Gentianella campestris,15.977508,68.202794
Gentianella campestris,14.036832,66.802719
Gentianella campestris,18.17395,69.1008
Gentianella campestris,11.75505,57.71417
Gentianella campestris,13.92318,55.51364
Gentianella campestris,17.245686,68.798228
Gentianella campestris,14.023528,67.042936
Gentianella campestris,15.028222,68.99448
